isaacs,isaacs,bahamas10,sokra,ktmud,caolan,KenanY,skeggse,freewil,Mithgol,raymondfeng,mbostock,weakish,sam-github,mikermcneil,Swatinem
ivanoats,ivanoats,verdet23,jeremyfelt,kytrinyx,eymengunay,badboy,raphink,fgrehm,mapleoin,scribu,futoase,willmot,alindeman,kirs,danielbachhuber
maethu,maethu,elioschmutz,ninfaj,lukasgraf,Tschanzt,deiferni,pysailor,vangheem,bosim,thet,tdesvenain,davisagli,keul,mauritsvanrees,do3cc
cweiske,cweiske,saltybeagle,mfairchild365,AgelxNash,CloCkWeRX,wimvds,dmi3yy,gauthierm,mikesherov,Jako,jpdevries,jancborchardt,jpmckinney,bezumkin,DeepDiver1975
addyosmani,addyosmani,brendo,arv,daffl,tbranyen,jzaefferer,Trott,kevva,robinboehm,chenglou,matthewp,hemanth,hariadi,mibamur,scopatz
coderanger,coderanger,matthewfl,sneal,mbautin,ryandub,cwjohnston,douglaswth,invsblduck,reset,spheromak,mattupstate,smith,sawanoboly,portertech,rhafer
verdet23,verdet23,ivanoats,eko,kytrinyx,rande,eymengunay,jeremyfelt,kerrizor,pat,bitdeli-chef,dg,badboy,Bladrak,leereilly,HeroicEric
jaredhanson,jaredhanson,mjhea0,bendiy,lynnaloo,freewil,chrisdickinson,1602,quarterto,nfroidure,bengourley,hughsk,thlorenz,kriskowal,calvinmetcalf,feross
jezdez,jezdez,Fantomas42,wedaly,crccheck,yakky,WoLpH,nemesisdesign,justinabrahms,codeinthehole,pydanny,lonnen,stefanw,elbaschid,Neamar,peterbe
colinta,colinta,clayallsopp,markrickert,alloy,miry,justincampbell,vipulnsward,JonRowe,bahamas10,orta,matzew,faceleg,soffes,mlandauer,flyerhzm
mikaelkaron,mikaelkaron,daffl,matthew-andrews,chenglou,hariadi,f2prateek,briancavalier,gustavohenke,myint,Rich-Harris,lipis,jamesward,spicyj,garbas,philfreo
josegonzalez,josegonzalez,ansell,dgoodlad,masondesu,dieterdemeyer,esc,stevendgonzales,real34,cloudnull,rcbjenkins,moorepants,dongilbert,abenari,ohadlevy,portertech
mbj,mbj,solnic,minad,Asmod4n,jvazquez-r7,todb-r7,weakish,VineetReynolds,aslakknutsen,JustinAiken,paulczar,seanmonstar,hueniverse,meatballhat,gvwilson
robyoung,robyoung,cbeer,annashipman,odi-robot,roc,gregcaporaso,dankilman,tombooth,steventux,matthewford,heathd,Shotclog,astrofrog,alexmuller,vinayvinay
Osmose,Osmose,stephendonner,pmclanahan,glogiotatidis,lonnen,peterbe,bobsilverberg,kumar303,amiel,cvan,rlr,groovecoder,gauthierm,jbuck,m8ttyB
czue,czue,dannyroberts,biyeun,yedi,snopoke,esoergel,smn,wvanbergen,ejholmes,akaptur,pydanny,thomasleveil,michaelklishin,jamesward,justinabrahms
pborreli,pborreli,wilsonge,koriym,lolautruche,nonZero,kurund,mbabker,rmccue,diglin,eileenmcnaughton,emanwebdev,KingYes,pypingou,JustinSGray,aequasi
jordandukart,jordandukart,willtp87,daniel-dgi,ajstanley,qadan,MorganDawe,ruebot,nigelgbanks,adam-vessey,lbjay,jdurand,joschi,cbeer,edsu,patcon
bradleywright,bradleywright,annashipman,odi-robot,roc,steventux,matthewford,tombooth,Shotclog,heathd,vinayvinay,dgoodlad,fatbusinessman,JordanHatch,alexmuller,jabley
Hywan,Hywan,lol768,AndreasHeiberg,adrianmacneil,BigBlueHat,PunKeel,jeremeamia,EvanDotPro,denis-sokolov,Lucariatias,stefk,schmunk42,cebe,sminnee,superdweebie
guille,guille,euforic,dg,sapegin,dfilatov,ben-ng,hatchan,olalonde,skeggse,kissygallery,anthonyshort,Contra,bengourley,gjohnson,MatthewMueller
olalonde,olalonde,PaulVI,euforic,matthew-andrews,caolan,JeroenDeDauw,skeggse,jcrugzz,bengourley,gjohnson,cristiandouce,1602,rgrp,airportyh,guille
fnichol,fnichol,bflad,MosesMendoza,haus,mbautin,reset,jamtur01,douglaswth,abenari,ohadlevy,spheromak,drnic,portertech,smith,carlossg
JeroenDeDauw,JeroenDeDauw,AgelxNash,chillu,caolan,matthew-andrews,dmi3yy,Remo,olalonde,jpdevries,Jako,bezumkin,burzum,airportyh,sminnee,schmunk42
arv,arv,doowb,ebidel,azakus,scottgonzalez,robwierzbowski,vojtajina,remy,Krinkle,guybedford,timoxley,addyosmani,josh,passy,nschonni
cgohlke,cgohlke,JensTimmerman,nouiz,stdweird,boegel,larsmans,keflavich,joshmoore,dankilman,gregcaporaso,esc,astrofrog,taldcroft,chapmanb,takluyver
alexmingoia,alexmingoia,tmeasday,narqo,odi-robot,roc,steventux,Shotclog,vinayvinay,alexmuller,fatbusinessman,JordanHatch,jamiecobbett,alext,mnowster,kissygallery
jirwin,jirwin,JohnMcLear,simong,andris9,chadlung,ryandub,cebe,michitux,maxlinc,clkao,jprice,rgbkrk,dokuwiki-translate,reaperhulk,garbados
NamelessCoder,NamelessCoder,gobengo,cedricziel,mneuhaus,camspiers,ianstormtaylor,scribu,taylorotwell,drak,igorw,sanemat,visionmedia,sheadawson,halkyon,unclecheese
eviltrout,eviltrout,mekarpeles,Munter,chilijung,HeroicEric,maurogeorge,kytrinyx,zspencer,daguar,mikesherov,cavneb,scopatz,nfroidure,gvwilson,ebryn
josh,josh,arv,jzaefferer,rpflorence,moorepants,titanous,jdutil,wolever,darobin,hemanth,sue445,anatol,eiel,mezis,calebthompson
mbabker,mbabker,wilsonge,betweenbrain,a9un9hari,dongilbert,igalic,guilleiguaran,fabpot,JustinSGray,pborreli,james2doyle,KenanY,joschi,Kenneth-T-Moore,rexxars
tboerger,tboerger,cloudedge,VictorLowther,rajinir,sergeylevchenko,dpaterson,arkadykanevsky,Axam,cdearborn,waynepallen,jsuchome,vuntz,dirkmueller,mvidner,jreidinger
pikesley,pikesley,JustinSGray,odi-robot,roc,steventux,Kenneth-T-Moore,matthewford,tombooth,rexxars,Shotclog,heathd,vinayvinay,a9un9hari,dracos,fatbusinessman
lzap,lzap,pitr-ch,komidore64,ehelms,ares,iNecas,abenari,ohadlevy,apenney,GregSutcliffe,eLobato,sonots,badboy,rcbjenkins,mikesherov
GrahamCampbell,GrahamCampbell,AbrarSyed,Vexatos,Lucariatias,tterrag1098,stuntguy3000,diglin,lol768,AndreasHeiberg,leereilly,HenrikJoreteg,mtdowling,PunKeel,JeroenDeDauw,adrianmacneil
jonmak08,jonmak08,sergiogonzalez,migue,shuyangzhou,mhan810,marcellustavares,samuelkong,csierra,johnnyhowey,jhinkey,ealonso,matethurzo,brianchandotcom,laszlocsontos,pure59
samuelkong,samuelkong,sergiogonzalez,JorgeFerrer,moltam89,csierra,ealonso,lipusz,marcellustavares,shuyangzhou,epgarcia,laszlocsontos,vilmospapp,robertoDiaz,johnnyhowey,KocsisDaniel
appleboy,appleboy,GianlucaGuarini,Contra,gr2m,twokul,vojtajina,jonschlinkert,machty,vladikoff,kpdecker,xtian,lepture,samsonasik,fivetanley,thomasboyt
Jako,Jako,dmi3yy,jpdevries,bezumkin,AgelxNash,philfreo,burzum,cweiske,JeroenDeDauw,chillu,Remo,sminnee,schmunk42,saltybeagle,hason
tychoish,tychoish,lmacken,pypingou,jasonnoble,ADmad,stdavis,lorenzo,rchavik,jean,AD7six,djmitche,aheckmann,ralphbean,dereuromark,ebidel
mgedmin,mgedmin,mmerickel,tseaver,tdesvenain,davisagli,do3cc,mauritsvanrees,khink,codeinthehole,iElectric,peterbe,ametaireau,bosim,pysailor,vangheem
westonplatter,westonplatter,twinge,futhr,peterberkenbosch,iloveitaly,jcasimir,abenari,ohadlevy,jdutil,jdurand,soulcutter,chrishunt,GregSutcliffe,eric,carlossg
openstack-gerrit,openstack-gerrit,dhellmann,robertchoi8099,vuntz,wilreichert,chadlung,tboerger,bodepd,cloudnull,rcbjenkins,invsblduck,mvidner,spheromak,rackerjoe,ralphbean
nigelgbanks,nigelgbanks,qadan,MorganDawe,daniel-dgi,willtp87,ajstanley,ruebot,jordandukart,adam-vessey,cbeer,lbjay,cam156,joschi,cjcolvar,edsu
denis-sokolov,denis-sokolov,rmccue,spiffyjr,juriansluiman,aequasi,ezimuel,lol768,weierophinney,AndreasHeiberg,pippinsplugins,TomHAnderson,adrianmacneil,mvriel,BigBlueHat,baldurrensch
JensTimmerman,JensTimmerman,stdweird,boegel,nouiz,larsmans,cgohlke,ahmadia,mrocklin,moorepants,esc,asmeurer,jakevdp,keflavich,dankilman,gregcaporaso
eguaj,eguaj,Eric-Brison,bitdeli-chef,gregorybesson,tansaku,pombredanne,parndt,sindresorhus,sethvargo,JonRowe,kud,xaviershay,wilmoore,Vexatos,grosser
tarelli,tarelli,bitdeli-chef,tansaku,gregorybesson,pombredanne,parndt,sindresorhus,sethvargo,JonRowe,kud,xaviershay,wilmoore,afeld,Vexatos,twilson63
abstractj,abstractj,danielpassos,secondsun,danbev,kpiwko,edewit,smiklosovic,matzew,maxandersen,normanmaurer,fredericBregier,titanous,jglick,snjeza,sgilda
dfilatov,dfilatov,sipayRT,tadatuta,narqo,silverbucket,dg,sapegin,rcbjenkins,kizu,sidorares,mikesherov,francoisfrisch,rackerjoe,guille,thlorenz
passy,passy,pylerSM,aaronjorbin,james2doyle,arv,tbranyen,daffl,abrkn,SimonSapin,sharoonthomas,dahlia,caolan,sapegin,rpflorence,Constellation
rjmackay,rjmackay,danielbachhuber,joehoyle,willmot,ezimuel,weierophinney,mattheu,WinterSilence,PunKeel,Anahkiasen,rmccue,till,btm,joshbetz,juliandunn
rcbjenkins,rcbjenkins,silverbucket,dhellmann,robertchoi8099,chadlung,wilreichert,openstack-gerrit,cloudnull,stevendgonzales,invsblduck,dfilatov,rackerjoe,spheromak,portertech,prometheanfire
hueniverse,hueniverse,splitbrain,nlf,abstractj,hatchan,titanous,raymondfeng,jbuck,weakish,sam-github,mcollina,zaach,seanmonstar,mbj,bjornstar
bitdeli-chef,bitdeli-chef,gregorybesson,tansaku,thomasleveil,twilson63,Vexatos,sbesson,bezumkin,gobengo,adamantivm,verdet23,RyanTech,paales,tterrag1098,lolautruche
